release_year,genres,Hours_played
1997,Racing,155.317
1997,Action,880.796
1997,Indie,880.796
1997,Action,82.988
1997,Simulation,82.988
1997,Action,4698.173
1997,Adventure,506.717
1997,Casual,506.717
1997,Adventure,4720.021
1997,Casual,35.305
1997,Indie,35.305
1997,RPG,23.15
1997,Strategy,23.15
1997,RPG,5970.607
1997,Strategy,2189.051
1998,Action,8.867
1998,Adventure,8.867
1998,Indie,8.867
1998,Racing,8.867
1998,Action,281.283
1998,Adventure,281.283
1998,Action,243.218
1998,Indie,243.218
1998,Racing,243.218
1998,Action,1712.95
1998,Simulation,1712.95
1998,Action,46072.418
1998,Adventure,135.486
1998,Casual,135.486
1998,Adventure,2554.89
1998,Casual,79.852
1998,Indie,79.852
1998,Casual,0.632
1998,Indie,0.683
1998,Strategy,0.683
1998,RPG,6303.169
1998,Racing,0.083
1998,Simulation,72.681
1998,Strategy,434.471
1999,Action,33.833
1999,Adventure,33.833
1999,Action,10450.134
1999,Casual,10450.134
1999,Free to Play,10450.134
1999,Indie,10450.134
1999,Action,4590.832
1999,RPG,4590.832
1999,Action,0.534
1999,Racing,0.534
1999,Action,30177.411
1999,Adventure,95.082
1999,Casual,95.082
1999,Casual,3.617
1999,RPG,86.425
1999,Strategy,86.425
1999,RPG,841.656
1999,Simulation,2149.109
1999,Strategy,2149.109
1999,Simulation,5.917000000000001
1999,Strategy,7346.848
2000,Action,866.669
2000,Adventure,866.669
2000,RPG,866.669
2000,Action,50.25
2000,Indie,50.25
2000,Racing,50.25
2000,Action,913.59
2000,Simulation,913.59
2000,Action,417.518
2000,Strategy,417.518
2000,Action,303716.397
2000,Adventure,885.052
2000,Casual,885.052
2000,Adventure,0.3
2000,Casual,0.25
2000,Indie,0.25
2000,Indie,37.9
2000,Simulation,37.9
2000,RPG,20.667
2000,Simulation,16.687
2000,Strategy,16.687
2000,Simulation,189.01700000000002
2000,Strategy,83.341
2001,Action,387.202
2001,Adventure,387.202
2001,Action,82.75200000000001
2001,Free to Play,82.75200000000001
2001,Indie,82.75200000000001
2001,Action,972.547
2001,Indie,972.547
2001,Action,1052.886
2001,RPG,1052.886
2001,Action,144.633
2001,Simulation,144.633
2001,Action,523.208
2001,Strategy,523.208
2001,Action,18942.034
2001,Adventure,92.798
2001,Casual,92.798
2001,Adventure,363.503
2001,RPG,363.503
2001,Adventure,0.15000000000000002
2001,Casual,11.25
2001,Indie,136.168
2001,Strategy,136.168
2001,RPG,304.649
2001,Simulation,3147.558
2001,Strategy,3147.558
2001,Simulation,433.735
2001,Strategy,282.737
2001,RPG,282.737
2001,Indie,282.737
2001,Strategy,405.88300000000004
2001,Simulation,405.88300000000004
2001,Strategy,11192.732
2002,Action,9.936
2002,Adventure,9.936
2002,Indie,9.936
2002,Action,35.5
2002,Adventure,35.5
2002,Strategy,35.5
2002,Action,751.885
2002,Adventure,751.885
2002,Action,12.318
2002,Casual,12.318
2002,Action,15.441
2002,Indie,15.441
2002,Strategy,15.441
2002,Action,606.0360000000001
2002,Indie,606.0360000000001
2002,Action,1099.173
2002,Simulation,1099.173
2002,Action,174.332
2002,Strategy,174.332
2002,Action,9497.172
2002,Adventure,954.021
2002,Casual,954.021
2002,Adventure,1322.783
2002,Casual,60.531
2002,Strategy,60.531
2002,RPG,564.8919999999999
2002,Strategy,564.8919999999999
2002,RPG,29154.737
2002,Simulation,4790.218
2002,Strategy,4790.218
2002,Strategy,2449.984
2003,Action,14.449000000000002
2003,Adventure,14.449000000000002
2003,Indie,14.449000000000002
2003,RPG,14.449000000000002
2003,Action,34997.957
2003,Adventure,34997.957
2003,Indie,34997.957
2003,Action,3118.126
2003,Adventure,3118.126
2003,Action,6.184
2003,Casual,6.184
2003,Indie,6.184
2003,Action,94937.472
2003,Free to Play,94937.472
2003,Massively Multiplayer,94937.472
2003,RPG,94937.472
2003,Strategy,94937.472
2003,Action,77.7
2003,Indie,77.7
2003,RPG,77.7
2003,Action,158.602
2003,Indie,158.602
2003,Strategy,158.602
2003,Action,658.85
2003,Strategy,658.85
2003,Action,64254.154
2003,Adventure,20.502
2003,Casual,20.502
2003,Adventure,65.633
2003,Indie,65.633
2003,RPG,65.633
2003,Strategy,65.633
2003,Adventure,47769.874
2003,RPG,47769.874
2003,Adventure,504.02500000000003
2003,Casual,17.881999999999998
2003,Indie,17.881999999999998
2003,Simulation,17.881999999999998
2003,Strategy,17.881999999999998
2003,Casual,6.235
2003,Racing,6.235
2003,Free to Play,4980.853
2003,Massively Multiplayer,4980.853
2003,RPG,4980.853
2003,Indie,61.067
2003,Strategy,61.067
2003,RPG,280.06
2003,Strategy,280.06
2003,RPG,2331.447
2003,Racing,509.721
2003,Simulation,22617.169
2003,Strategy,22617.169
2003,Simulation,0.6
2003,Strategy,56.551
2003,RPG,56.551
2003,Indie,56.551
2003,Strategy,3364.34
2004,Action,1.0
2004,Adventure,1.0
2004,Indie,1.0
2004,RPG,1.0
2004,Action,664.096
2004,Adventure,664.096
2004,Action,457.816
2004,RPG,457.816
2004,Strategy,457.816
2004,Action,51.867
2004,Simulation,51.867
2004,Action,107.352
2004,Strategy,107.352
2004,Action,2160284.298
2004,Adventure,183.784
2004,Casual,183.784
2004,Adventure,753.61
2004,Casual,2.101
2004,Simulation,2.101
2004,Strategy,2.101
2004,Casual,217.735
2004,Indie,513.287
2004,Simulation,513.287
2004,Strategy,513.287
2004,Indie,0.717
2004,Strategy,0.717
2004,Indie,204.639
2004,RPG,417.268
2004,Strategy,417.268
2004,RPG,325.555
2004,Racing,57.951
2004,Simulation,1698.214
2004,Strategy,1698.214
2004,Strategy,58242.977
2005,Action,2281.6440000000002
2005,Adventure,2281.6440000000002
2005,RPG,2281.6440000000002
2005,Action,704.533
2005,Adventure,704.533
2005,Action,1112.1599999999999
2005,Free to Play,1112.1599999999999
2005,Indie,1112.1599999999999
2005,Action,154.749
2005,Indie,154.749
2005,RPG,154.749
2005,Action,3136.398
2005,Indie,3136.398
2005,Action,445.017
2005,Racing,445.017
2005,RPG,445.017
2005,Action,196581.468
2005,Adventure,23.0
2005,Casual,23.0
2005,Adventure,1.15
2005,Indie,1.15
2005,Adventure,430.24
2005,Casual,409.86699999999996
2005,Simulation,409.86699999999996
2005,Casual,134.134
2005,Strategy,134.134
2005,Casual,111.471
2005,Indie,142.632
2005,RPG,142.632
2005,Strategy,142.632
2005,Indie,1025.093
2005,Strategy,1025.093
2005,Indie,14.902
2005,RPG,228.335
2005,Strategy,228.335
2005,RPG,49161.467
2005,Racing,1162.647
2005,Simulation,1162.647
2005,Sports,1162.647
2005,Racing,1982.23
2005,Simulation,0.733
2005,Strategy,0.733
2005,Simulation,1343.771
2005,Strategy,17.484
2005,RPG,17.484
2005,Indie,17.484
2005,Strategy,15317.11
2005,Web Publishing,1564.079
2006,Action,2583.706
2006,Adventure,2583.706
2006,Action,42691.511
2006,Free to Play,42691.511
2006,Indie,42691.511
2006,Strategy,42691.511
2006,Action,20377.597
2006,Indie,20377.597
2006,RPG,20377.597
2006,Action,45.783
2006,Indie,45.783
2006,Action,9803.385
2006,RPG,9803.385
2006,Action,395.248
2006,Racing,395.248
2006,Action,373.349
2006,Simulation,373.349
2006,Strategy,373.349
2006,Action,33591.005
2006,Strategy,33591.005
2006,Action,69685.837
2006,Adventure,86.5
2006,Casual,86.5
2006,Adventure,75.08200000000001
2006,Indie,75.08200000000001
2006,Adventure,337.253
2006,RPG,337.253
2006,Adventure,27.182
2006,Racing,27.182
2006,Adventure,289.883
2006,Casual,189.552
2006,Indie,189.552
2006,Simulation,189.552
2006,Strategy,189.552
2006,Casual,24.884
2006,Indie,24.884
2006,Casual,59.533
2006,Simulation,59.533
2006,Casual,19.217
2006,Strategy,19.217
2006,Indie,19.217
2006,Casual,3558.27
2006,Indie,646.071
2006,Racing,646.071
2006,Indie,7364517.192
2006,Simulation,7364517.192
2006,Indie,6586.84
2006,Strategy,6586.84
2006,Photo Editing,2.884
2006,Utilities,2.884
2006,Video Production,2.884
2006,RPG,41.368
2006,Strategy,41.368
2006,Racing,33.326
2006,Simulation,33.326
2006,Sports,33.326
2006,Racing,129.467
2006,Simulation,129.467
2006,Racing,5870.809
2006,Simulation,17904.041
2006,Strategy,17904.041
2006,Simulation,25733.508
2006,Sports,153.05
2006,Strategy,81.151
2006,RPG,81.151
2006,Indie,81.151
2006,Strategy,185625.739
2006,Utilities,6379.281
2007,Action,1551.173
2007,Adventure,1551.173
2007,Indie,1551.173
2007,Action,380.801
2007,Adventure,380.801
2007,Racing,380.801
2007,Simulation,380.801
2007,Strategy,380.801
2007,Action,123.618
2007,Adventure,123.618
2007,Simulation,123.618
2007,Action,60.465999999999994
2007,Adventure,60.465999999999994
2007,Strategy,60.465999999999994
2007,Action,3643.752
2007,Adventure,3643.752
2007,Action,1579.613
2007,Free to Play,1579.613
2007,Indie,1579.613
2007,Action,326.68499999999995
2007,Free to Play,326.68499999999995
2007,Massively Multiplayer,326.68499999999995
2007,RPG,326.68499999999995
2007,Strategy,326.68499999999995
2007,Action,164.55
2007,Indie,164.55
2007,RPG,164.55
2007,Action,15878.601
2007,Indie,15878.601
2007,Simulation,15878.601
2007,Action,220.15099999999998
2007,Indie,220.15099999999998
2007,Strategy,220.15099999999998
2007,Action,1103.2509999999997
2007,RPG,1103.2509999999997
2007,Simulation,1103.2509999999997
2007,Action,60964.476
2007,RPG,60964.476
2007,Action,89.616
2007,Racing,89.616
2007,Action,21.317
2007,Simulation,21.317
2007,Sports,21.317
2007,Action,12.465
2007,Simulation,12.465
2007,Action,0.484
2007,Sports,0.484
2007,Action,1135.718
2007,Strategy,1135.718
2007,Action,204913.784
2007,Adventure,7.834
2007,Casual,7.834
2007,Indie,7.834
2007,Adventure,92.069
2007,Casual,92.069
2007,Adventure,789.89
2007,Audio Production,184.35
2007,Design &amp; Illustration,184.35
2007,Photo Editing,184.35
2007,Utilities,184.35
2007,Video Production,184.35
2007,Web Publishing,184.35
2007,Casual,1635.2430000000002
2007,Free to Play,1635.2430000000002
2007,Massively Multiplayer,1635.2430000000002
2007,Casual,88.651
2007,Indie,88.651
2007,Simulation,88.651
2007,Strategy,88.651
2007,Casual,211.46699999999998
2007,Indie,211.46699999999998
2007,Casual,882.483
2007,Simulation,882.483
2007,Casual,9237.646
2007,Indie,90.334
2007,RPG,90.334
2007,Strategy,90.334
2007,Indie,176.68
2007,RPG,176.68
2007,Indie,439.97
2007,Simulation,439.97
2007,Strategy,439.97
2007,Indie,182.952
2007,Simulation,182.952
2007,Indie,567.817
2007,Strategy,567.817
2007,Indie,1175.578
2007,RPG,3.316
2007,Casual,3.316
2007,Adventure,3.316
2007,RPG,1390.383
2007,Simulation,1390.383
2007,Strategy,1390.383
2007,RPG,42.4
2007,Simulation,42.4
2007,RPG,11.049
2007,Strategy,11.049
2007,RPG,93449.073
2007,Racing,9252.063
2007,Simulation,839.684
2007,Strategy,839.684
2007,Simulation,2028.122
2007,Strategy,47075.913
2008,Action,14.968
2008,Adventure,14.968
2008,Free to Play,14.968
2008,Indie,14.968
2008,Massively Multiplayer,14.968
2008,RPG,14.968
2008,Action,327.92
2008,Adventure,327.92
2008,RPG,327.92
2008,Action,48673.945
2008,Adventure,48673.945
2008,Action,665.572
2008,Casual,665.572
2008,Indie,665.572
2008,Action,14.116000000000001
2008,Casual,14.116000000000001
2008,Action,1857.199
2008,Free to Play,1857.199
2008,RPG,1857.199
2008,Action,273.142
2008,Indie,273.142
2008,Strategy,273.142
2008,Action,601.541
2008,Indie,601.541
2008,Action,97464.378
2008,RPG,97464.378
2008,Action,8685.853
2008,Racing,8685.853
2008,Action,11287.618
2008,Simulation,11287.618
2008,Strategy,11287.618
2008,Action,389110.767
2008,Adventure,70.882
2008,Casual,70.882
2008,Indie,70.882
2008,Adventure,633.018
2008,Casual,633.018
2008,Adventure,275.873
2008,Indie,275.873
2008,Adventure,2113.626
2008,RPG,2113.626
2008,Adventure,2495.109
2008,Animation &amp; Modeling,34.306
2008,Design &amp; Illustration,34.306
2008,Education,34.306
2008,Software Training,34.306
2008,Utilities,34.306
2008,Casual,9.75
2008,Indie,9.75
2008,RPG,9.75
2008,Strategy,9.75
2008,Casual,150.254
2008,Indie,150.254
2008,Racing,150.254
2008,Casual,41.684
2008,Indie,41.684
2008,Simulation,41.684
2008,Strategy,41.684
2008,Casual,69.95
2008,Indie,69.95
2008,Strategy,69.95
2008,Casual,1703.7359999999999
2008,Indie,1703.7359999999999
2008,Casual,271.501
2008,Simulation,271.501
2008,Casual,638.848
2008,Strategy,638.848
2008,Casual,3500.114
2008,Free to Play,36.668
2008,Indie,36.668
2008,Massively Multiplayer,36.668
2008,Strategy,36.668
2008,Free to Play,1683.161
2008,Massively Multiplayer,1683.161
2008,RPG,1683.161
2008,Indie,11.533000000000001
2008,Casual,11.533000000000001
2008,Sports,11.533000000000001
2008,Indie,827.259
2008,Casual,827.259
2008,Indie,23343.26
2008,RPG,23343.26
2008,Indie,1584.287
2008,Racing,1584.287
2008,Sports,1584.287
2008,Indie,2936.168
2008,Simulation,2936.168
2008,Indie,20582.857
2008,Strategy,20582.857
2008,Indie,33870.848
2008,RPG,58.434
2008,Indie,58.434
2008,Casual,58.434
2008,RPG,4365.72
2008,Strategy,4365.72
2008,RPG,40627.371
2008,Racing,29758.954999999998
2008,Simulation,903.9200000000001
2008,Strategy,903.9200000000001
2008,Simulation,61481.046
2008,Sports,29.65
2008,Strategy,17.634
2008,Action,17.634
2008,Indie,17.634
2008,Strategy,824.47
2008,Casual,824.47
2008,Strategy,204.549
2008,Indie,204.549
2008,Strategy,242.802
2008,RPG,242.802
2008,Indie,242.802
2008,Strategy,1231.182
2008,Simulation,1231.182
2008,Strategy,94460.537
2009,Action,1379.287
2009,Adventure,1379.287
2009,Casual,1379.287
2009,Indie,1379.287
2009,RPG,1379.287
2009,Strategy,1379.287
2009,Action,132.53300000000002
2009,Adventure,132.53300000000002
2009,Indie,132.53300000000002
2009,RPG,132.53300000000002
2009,Action,10928.866
2009,Adventure,10928.866
2009,Indie,10928.866
2009,Action,1556.299
2009,Adventure,1556.299
2009,RPG,1556.299
2009,Action,154.502
2009,Adventure,154.502
2009,Simulation,154.502
2009,Action,93.784
2009,Adventure,93.784
2009,Strategy,93.784
2009,Action,78955.519
2009,Adventure,78955.519
2009,Action,1174.67
2009,Casual,1174.67
2009,Action,5332.284
2009,Free to Play,5332.284
2009,Indie,5332.284
2009,Action,780.0889999999999
2009,Indie,780.0889999999999
2009,RPG,780.0889999999999
2009,Action,267.352
2009,Indie,267.352
2009,Racing,267.352
2009,Sports,267.352
2009,Action,1769.208
2009,Indie,1769.208
2009,Sports,1769.208
2009,Action,11525.451000000001
2009,Indie,11525.451000000001
2009,Action,56.903
2009,RPG,56.903
2009,Indie,56.903
2009,Action,191033.254
2009,RPG,191033.254
2009,Action,990.479
2009,Racing,990.479
2009,Action,6909.068
2009,Simulation,6909.068
2009,Strategy,6909.068
2009,Action,29653.192
2009,Simulation,29653.192
2009,Action,51.45399999999999
2009,Strategy,51.45399999999999
2009,Indie,51.45399999999999
2009,Action,3636.377
2009,Strategy,3636.377
2009,Action,2384181.33
2009,Adventure,391.497
2009,Casual,391.497
2009,Indie,391.497
2009,Adventure,97.6
2009,Casual,97.6
2009,Strategy,97.6
2009,Adventure,27.234
2009,Casual,27.234
2009,Adventure,326.286
2009,Indie,326.286
2009,Simulation,326.286
2009,Adventure,3171.617
2009,Indie,3171.617
2009,Adventure,344.569
2009,RPG,344.569
2009,Adventure,15249.023
2009,Casual,292.287
2009,Indie,292.287
2009,Simulation,292.287
2009,Strategy,292.287
2009,Casual,6022.77
2009,Indie,6022.77
2009,Strategy,6022.77
2009,Casual,1279.565
2009,Indie,1279.565
2009,Casual,294.883
2009,RPG,294.883
2009,Casual,60.316
2009,Simulation,60.316
2009,Casual,141.037
2009,Strategy,141.037
2009,Casual,1662.825
2009,Free to Play,33700.167
2009,Massively Multiplayer,33700.167
2009,RPG,33700.167
2009,Indie,2413.48
2009,Casual,2413.48
2009,Indie,178.018
2009,RPG,178.018
2009,Indie,126.348
2009,Racing,126.348
2009,Sports,126.348
2009,Indie,1535.731
2009,Simulation,1535.731
2009,Sports,1535.731
2009,Indie,5142.678
2009,Simulation,5142.678
2009,Strategy,5142.678
2009,Indie,3554.267
2009,Strategy,3554.267
2009,Indie,6834.2339999999995
2009,RPG,5888.704
2009,Strategy,5888.704
2009,RPG,191830.163
2009,Racing,38573.463
2009,Simulation,86.484
2009,Sports,86.484
2009,Simulation,94164.051
2009,Strategy,94164.051
2009,Simulation,133133.764
2009,Sports,376.219
2009,Casual,376.219
2009,Strategy,402243.013
2010,Action,4902.748
2010,Adventure,4902.748
2010,Casual,4902.748
2010,RPG,4902.748
2010,Action,1.7670000000000001
2010,Adventure,1.7670000000000001
2010,Casual,1.7670000000000001
2010,Action,55.933
2010,Adventure,55.933
2010,Indie,55.933
2010,Casual,55.933
2010,Action,24609.067
2010,Adventure,24609.067
2010,Indie,24609.067
2010,Action,16.584
2010,Adventure,16.584
2010,RPG,16.584
2010,Action,14.783
2010,Adventure,14.783
2010,Racing,14.783
2010,Action,2783.315
2010,Adventure,2783.315
2010,Strategy,2783.315
2010,Action,373377.384
2010,Adventure,373377.384
2010,Action,9705.205
2010,Casual,9705.205
2010,Indie,9705.205
2010,Action,527.168
2010,Casual,527.168
2010,Action,16540.867
2010,Free to Play,16540.867
2010,Indie,16540.867
2010,Action,1455.941
2010,Indie,1455.941
2010,RPG,1455.941
2010,Action,752.318
2010,Indie,752.318
2010,Racing,752.318
2010,Sports,752.318
2010,Action,85.968
2010,Indie,85.968
2010,Racing,85.968
2010,Action,12301.826000000001
2010,Indie,12301.826000000001
2010,Action,536.467
2010,RPG,536.467
2010,Indie,536.467
2010,Action,1242665.874
2010,RPG,1242665.874
2010,Action,418.07
2010,Racing,418.07
2010,Action,667636.027
2010,Simulation,667636.027
2010,Strategy,667636.027
2010,Action,1544.886
2010,Strategy,1544.886
2010,Indie,1544.886
2010,Casual,1544.886
2010,Action,641525.17
2010,Adventure,676.532
2010,Casual,676.532
2010,Indie,676.532
2010,Simulation,676.532
2010,Adventure,332.954
2010,Casual,332.954
2010,Indie,332.954
2010,Adventure,207.967
2010,Casual,207.967
2010,Simulation,207.967
2010,Adventure,192.067
2010,Casual,192.067
2010,Adventure,199.418
2010,Free to Play,199.418
2010,Indie,199.418
2010,RPG,199.418
2010,Adventure,223.166
2010,Indie,223.166
2010,Casual,223.166
2010,Adventure,1006.616
2010,Indie,1006.616
2010,RPG,1006.616
2010,Strategy,1006.616
2010,Adventure,173.85
2010,Indie,173.85
2010,RPG,173.85
2010,Adventure,1032.598
2010,Indie,1032.598
2010,Adventure,235.716
2010,Strategy,235.716
2010,Indie,235.716
2010,Adventure,4975.25
2010,Casual,48.849000000000004
2010,Indie,48.849000000000004
2010,Simulation,48.849000000000004
2010,Strategy,48.849000000000004
2010,Casual,213.334
2010,Indie,213.334
2010,Simulation,213.334
2010,Casual,1641.514
2010,Indie,1641.514
2010,Strategy,1641.514
2010,Casual,9515.406
2010,Indie,9515.406
2010,Casual,170.719
2010,RPG,170.719
2010,Casual,32366.666
2010,Sports,32366.666
2010,Casual,1634.7
2010,Education,0.15
2010,Free to Play,123222.44499999999
2010,Massively Multiplayer,123222.44499999999
2010,RPG,123222.44499999999
2010,Free to Play,852.5889999999999
2010,Massively Multiplayer,852.5889999999999
2010,Free to Play,2434.94
2010,Simulation,2434.94
2010,Strategy,2434.94
2010,Indie,192.61
2010,Casual,192.61
2010,Indie,688.735
2010,RPG,688.735
2010,Strategy,688.735
2010,Indie,225.019
2010,RPG,225.019
2010,Indie,161.268
2010,Racing,161.268
2010,Indie,1240.673
2010,Simulation,1240.673
2010,Strategy,1240.673
2010,Indie,1819.0610000000001
2010,Simulation,1819.0610000000001
2010,Indie,3684.458
2010,Strategy,3684.458
2010,Indie,42056.278
2010,RPG,2107.818
2010,Casual,2107.818
2010,RPG,9181.013
2010,Indie,9181.013
2010,RPG,478.803
2010,Simulation,478.803
2010,Strategy,478.803
2010,RPG,5493.428
2010,Strategy,5493.428
2010,RPG,132409.464
2010,Racing,32585.342
2010,Simulation,4112.741
2010,Strategy,4112.741
2010,Simulation,11951.487
2010,Sports,6489.361
2010,Strategy,6489.361
2010,Sports,2.334
2010,Strategy,13334.7
2010,Casual,13334.7
2010,Strategy,83.198
2010,Indie,83.198
2010,Strategy,1224.325
2010,RPG,1224.325
2010,Strategy,4798.37
2010,Simulation,4798.37
2010,Strategy,1630230.733
2011,Action,21.502
2011,Adventure,21.502
2011,Casual,21.502
2011,Indie,21.502
2011,Action,126.002
2011,Adventure,126.002
2011,Casual,126.002
2011,Action,285984.563
2011,Adventure,285984.563
2011,Free to Play,285984.563
2011,Indie,285984.563
2011,Massively Multiplayer,285984.563
2011,RPG,285984.563
2011,Action,2822710.442
2011,Adventure,2822710.442
2011,Indie,2822710.442
2011,RPG,2822710.442
2011,Action,837.723
2011,Adventure,837.723
2011,Indie,837.723
2011,Strategy,837.723
2011,Action,199.019
2011,Adventure,199.019
2011,Indie,199.019
2011,Action,15892.162
2011,Adventure,15892.162
2011,RPG,15892.162
2011,Action,29.732
2011,Adventure,29.732
2011,Racing,29.732
2011,Action,303.098
2011,Adventure,303.098
2011,Simulation,303.098
2011,Action,487225.121
2011,Adventure,487225.121
2011,Action,913.052
2011,Casual,913.052
2011,Indie,913.052
2011,Simulation,913.052
2011,Strategy,913.052
2011,Action,878.897
2011,Casual,878.897
2011,Indie,878.897
2011,Simulation,878.897
2011,Action,24275.7
2011,Casual,24275.7
2011,Indie,24275.7
2011,Strategy,24275.7
2011,Action,51.602000000000004
2011,Casual,51.602000000000004
2011,Indie,51.602000000000004
2011,Action,130564.728
2011,Free to Play,130564.728
2011,Indie,130564.728
2011,Action,235761.862
2011,Free to Play,235761.862
2011,Massively Multiplayer,235761.862
2011,Action,2279.5
2011,Free to Play,2279.5
2011,Strategy,2279.5
2011,Action,20343.011
2011,Free to Play,20343.011
2011,Action,1246.673
2011,Indie,1246.673
2011,Casual,1246.673
2011,Action,264372.065
2011,Indie,264372.065
2011,RPG,264372.065
2011,Strategy,264372.065
2011,Action,44763.258
2011,Indie,44763.258
2011,RPG,44763.258
2011,Action,3808.348
2011,Indie,3808.348
2011,Racing,3808.348
2011,Strategy,3808.348
2011,Action,25261.995
2011,Indie,25261.995
2011,Strategy,25261.995
2011,Action,34801.114
2011,Indie,34801.114
2011,Action,152571.042
2011,Massively Multiplayer,152571.042
2011,Simulation,152571.042
2011,Action,563.949
2011,RPG,563.949
2011,Indie,563.949
2011,Action,178021.943
2011,RPG,178021.943
2011,Action,18.684
2011,Racing,18.684
2011,Sports,18.684
2011,Action,2110.468
2011,Racing,2110.468
2011,Action,3596.277
2011,Simulation,3596.277
2011,Strategy,3596.277
2011,Action,10401.96
2011,Simulation,10401.96
2011,Action,8207.874
2011,Strategy,8207.874
2011,Indie,8207.874
2011,Sports,8207.874
2011,Action,411.782
2011,Strategy,411.782
2011,Simulation,411.782
2011,Action,8642.596
2011,Strategy,8642.596
2011,Action,761097.599
2011,Adventure,7103.508
2011,Casual,7103.508
2011,Free to Play,7103.508
2011,Massively Multiplayer,7103.508
2011,Strategy,7103.508
2011,Adventure,475.23199999999997
2011,Casual,475.23199999999997
2011,Indie,475.23199999999997
2011,Simulation,475.23199999999997
2011,Adventure,2006.137
2011,Casual,2006.137
2011,Indie,2006.137
2011,Adventure,3674.708
2011,Casual,3674.708
2011,RPG,3674.708
2011,Adventure,298.07
2011,Casual,298.07
2011,Simulation,298.07
2011,Adventure,1338.914
2011,Casual,1338.914
2011,Adventure,138.40699999999998
2011,Indie,138.40699999999998
2011,Casual,138.40699999999998
2011,Adventure,4779.453
2011,Indie,4779.453
2011,RPG,4779.453
2011,Adventure,16546.546
2011,Indie,16546.546
2011,Adventure,8373.307
2011,Simulation,8373.307
2011,Adventure,34901.196
2011,Strategy,34901.196
2011,Adventure,2164.819
2011,Casual,140.53300000000002
2011,Indie,140.53300000000002
2011,RPG,140.53300000000002
2011,Simulation,140.53300000000002
2011,Casual,14665.95
2011,Indie,14665.95
2011,RPG,14665.95
2011,Casual,510.968
2011,Indie,510.968
2011,Simulation,510.968
2011,Strategy,510.968
2011,Casual,28000.963
2011,Indie,28000.963
2011,Simulation,28000.963
2011,Casual,1049.141
2011,Indie,1049.141
2011,Strategy,1049.141
2011,Casual,3327.758
2011,Indie,3327.758
2011,Casual,183.91699999999997
2011,RPG,183.91699999999997
2011,Casual,281.733
2011,Simulation,281.733
2011,Strategy,281.733
2011,Casual,3.166
2011,Simulation,3.166
2011,Casual,72.335
2011,Strategy,72.335
2011,Casual,500.786
2011,Free to Play,37418.869
2011,Massively Multiplayer,37418.869
2011,RPG,37418.869
2011,Indie,5951.262
2011,Casual,5951.262
2011,Indie,433.4
2011,RPG,433.4
2011,Strategy,433.4
